Order_ID,Order_Date,Region,Product_Category,Product_Name,Units_Sold,Unit_Price,Discount_Percent,Customer_Rating,Sales_Rep,Total_Sales,Shipping_Cost
ORD-10177,2023-01-02,South,Toys,Board Game,24,60.08,25.0,3.8,Carlos,1081.44,14.65
ORD-10108,2023-01-06,East,Clothing,Denim Jeans,7,60.7,20.0,5.0,Emma,339.92,11.49
ORD-10200,2023-01-06,North,Furniture,Study Desk,18,342.1,20.0,2.8,Emma,4926.24,25.43
ORD-10599,2023-01-08,Central,Clothing,Denim Jeans,30,2433.3883568449305,25.0,2.6,Carlos,54751.24,26.27
ORD-10559,2023-01-09,Central,Toys,RC Car,406,76.43,0.0,3.2,Diana,31030.58,206.34
ORD-10124,2023-01-13,South,Clothing,Denim Jeans,38,37.46,15.0,3.6,Frank,1209.96,20.42
ORD-10150,2023-01-14,North,Electronics,Bluetooth Speaker,7,221.62,5.0,3.1,Diana,1473.77,12.01
ORD-10021,2023-01-15,West,Toys,Puzzle Set,29,56.39,,4.0,Diana,1553.54,24.75
ORD-10127,2023-01-19,South,Groceries,Granola Bars,10,17.9,5.0,4.7,Alice,170.05,10.5
ORD-10555,2023-01-19,West,Groceries,Olive Oil,24,24.82,10.0,2.9,Diana,536.11,23.57
ORD-10118,2023-01-22,West,Clothing,Denim Jeans,28,63.73,25.0,3.1,Carlos,1338.33,38.26
ORD-10378,2023-01-23,East,Electronics,Smart Watch,22,178.01,5.0,3.0,Diana,3720.41,15.42
ORD-10227,2023-01-24,Central,Toys,RC Car,4,20.03,0.0,4.0,Alice,80.12,8.34
ORD-10088,2023-01-27,South,Toys,Puzzle Set,19,33.27,10.0,3.9,Carlos,568.92,20.56
ORD-10434,2023-02-02,South,Furniture,Bookshelf,5,253.17,0.0,4.4,Frank,1265.85,8.24
ORD-10350,2023-02-03,North,Groceries,Green Tea Pack,19,5.74,20.0,3.6,Diana,87.25,16.26
ORD-10164,2023-02-03,North,Electronics,Smart Watch,4,171.82,25.0,3.7,Frank,515.46,9.58
ORD-10375,2023-02-03,North,Clothing,Hooded Sweatshirt,17,84.41,20.0,4.9,Diana,1147.98,16.99
ORD-10262,2023-02-05,South,Clothing,Cotton T-Shirt,37,25.61,0.0,3.9,Carlos,947.57,44.08
ORD-10052,2023-02-06,North,Furniture,Study Desk,37,76.6,15.0,4.6,Alice,2409.07,40.34
ORD-10395,2023-02-06,North,Clothing,Running Shorts,14,55.26,15.0,,Carlos,657.59,18.82
ORD-10450,2023-02-06,West,Furniture,Office Chair,15,174.42,5.0,4.9,Carlos,2485.48,11.7
ORD-10270,2023-02-07,East,Groceries,Granola Bars,1,40.87,10.0,3.7,Emma,36.78,6.13
